Molecular Weight,AlogP,Smiles,IC50_nM,pChEMBL Value,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI
433.82,4.37,O=C(c1cccc(C(F)(F)F)c1Cl)N1[C@H]2CC[C@@H]1c1nnc(-c3cccnc3)n1C2,2917.4,5.54,12.76,0.25,1.17,8.66
421.81,4.06,C[C@H]1Cn2c(nnc2-c2cccnc2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,122.2,6.91,16.39,0.33,2.85,10.82
365.41,3.21,Cc1nc2c(c(-c3ccn[nH]3)n1)CC(C)N(C(=O)c1cccc(F)c1C)C2,1273.5,5.89,16.13,0.3,2.69,7.88
434.81,3.77,O=C(c1cccc(C(F)(F)F)c1Cl)N1[C@H]2CC[C@@H]1c1nnc(-c3cnccn3)n1C2,251.2,6.6,15.18,0.3,2.83,8.59
465.84,4.59,O=C1c2nnc(-c3ccc(F)cn3)n2CC(C2CC2)N1Cc1cccc(C(F)(F)F)c1Cl,398.1,6.4,13.74,0.27,1.81,10.01
481.88,4.88,Cc1nc2c(c(-c3ccn(CCF)n3)n1)C[C@@H](C)N(C(=O)c1cccc(C(F)(F)F)c1Cl)C2,12.9,7.89,16.37,0.33,3.01,12.34
427.84,4.12,C[C@H]1Cn2c(nnc2-c2nccs2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,134.6,6.87,16.06,0.34,2.75,10.75
424.81,3.4,C[C@H]1Cn2c(nnc2-c2ccn(C)n2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,960.0,6.02,14.17,0.28,2.62,8.74
422.8,3.45,CC1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,36.0,7.44,17.61,0.35,3.99,9.69
306.16,3.09,Clc1cccc(-c2nnnn2Cc2cccnc2)c1Cl,316.23,6.5,21.23,0.44,3.41,11.51
389.29,4.18,Clc1cccc(-n2cnnc2NCc2cccnc2N2CCCC2)c1Cl,12.59,7.9,20.29,0.41,3.72,13.42
407.78,3.67,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCn2c(nnc2-c2ccccn2)C1,1310.0,5.88,14.43,0.29,2.21,9.2
389.25,3.09,C[C@H]1Cn2c(nnc2-c2cnccn2)CN1C(=O)c1cccc(Cl)c1Cl,7.9,8.1,20.82,0.43,5.01,10.55
438.81,4.84,CC1c2ncn(-c3ccc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,671.4,6.17,14.07,0.28,1.33,12.1
435.84,4.48,CCC1c2ncn(-c3cnccn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,179.1,6.75,15.48,0.31,2.27,10.56
445.31,3.88,CCOC(=O)C1c2ncn(-c3ccccn3)c2CCN1C(=O)c1cccc(Cl)c1Cl,3265.9,5.49,12.32,0.25,1.61,7.1
440.79,3.63,C[C@@H]1c2nnn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,10.0,8.0,18.15,0.36,4.37,10.42
389.25,3.09,C[C@H]1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1c(Cl)cccc1Cl,2384.0,5.62,14.44,0.3,2.53,7.32
295.75,2.68,Cc1n[nH]c(C)c1CC(=O)NCc1ccc(F)cc1Cl,158.49,6.8,22.99,0.46,4.12,11.77
410.79,3.38,C[C@H]1Cn2c(nnc2-c2cc[nH]n2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,7.1,8.15,19.84,0.4,4.77,10.22
371.84,4.14,Cc1nn(-c2ccccc2)c(C)c1CC(=O)NCc1ccc(F)cc1Cl,100.0,7.0,18.83,0.37,2.86,14.92
424.79,4.41,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCn2c(nnc2-c2ccc(F)cc2)C1,6390.0,5.19,12.23,0.24,0.78,10.18
421.81,4.23,CC1c2nnc(-c3ccccn3)n2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,86.0,7.07,16.75,0.33,2.84,11.06
449.86,4.44,Cc1nc2c(c(-c3ccnn3C)n1)CC(C)N(C(=O)c1cccc(C(F)(F)F)c1Cl)C2,17.8,7.75,17.23,0.34,3.31,12.13
408.77,3.06,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCn2c(nnc2-c2cnccn2)C1,92.0,7.04,17.21,0.34,3.98,9.16
405.26,4.44,C[C@H]1Cn2c(nnc2-c2ccc(F)cc2)CN1C(=O)c1cccc(Cl)c1Cl,8.0,8.1,19.98,0.41,3.66,15.87
405.26,4.44,C[C@@H]1Cn2c(nnc2-c2ccc(F)cc2)CN1C(=O)c1cccc(Cl)c1Cl,2240.0,5.65,13.94,0.29,1.21,11.07
439.8,4.23,C[C@@H]1c2ncn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,238.2,6.62,15.06,0.3,2.39,10.36
441.88,4.11,O=C(NCC1(O)CCCC(F)(F)C1)c1c(Cl)ccc2nc(N3CC[C@H](F)C3)ccc12,9400.0,5.03,11.38,0.23,0.92,7.68
425.88,4.99,O=C(NCC1CCC(F)(F)CC1)c1c(Cl)ccc2nc(N3CC[C@H](F)C3)ccc12,5100.0,5.29,12.43,0.25,0.3,11.7
422.8,3.24,Cc1nc2c(c(-n3nccn3)n1)CCN(C(=O)c1cccc(C(F)(F)F)c1Cl)C2,7.9,8.1,19.16,0.38,4.86,10.55
477.87,4.77,COc1ccnc(-c2nnc3n2C[C@H]2CCC[C@@H]3N2C(=O)c2cccc(C(F)(F)F)c2Cl)c1,1541.7,5.81,12.16,0.24,1.04,7.95
421.81,4.06,C[C@H]1Cn2c(nnc2-c2ccccn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,316.2,6.5,15.41,0.31,2.44,10.17
454.82,3.94,Cc1nc(-n2nnc3c2CCN(C(=O)c2cccc(C(F)(F)F)c2Cl)[C@@H]3C)ncc1F,19.7,7.71,16.94,0.34,3.77,10.03
374.23,3.37,O=C(c1cccc(Cl)c1Cl)N1CCc2c(ncnc2-c2ccn[nH]2)C1,489.4,6.31,16.86,0.34,2.94,8.44
446.64,3.93,CN1CCc2c(cccc2C(=O)NCC2(N3CCN(c4ccccc4)CC3)CCCCC2)C1,15.85,7.8,17.46,0.32,3.87,20.09
388.35,2.8,C[C@H]1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1cccc(C(F)(F)F)c1,4140.0,5.38,13.86,0.26,2.58,7.01
479.85,3.64,CCOC(=O)C1c2ncn(-c3cnccn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,16.5,7.78,16.22,0.32,4.14,8.63
402.29,4.07,Cc1nc2c(c(-c3ccn[nH]3)n1)CC(C)N(C(=O)c1ccc(Cl)cc1Cl)C2,14.9,7.83,19.46,0.4,3.76,10.47
435.84,4.45,CC[C@H]1Cn2c(nnc2-c2cccnc2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,132.7,6.88,15.78,0.31,2.43,10.76
348.41,2.4,Cc1cccc(C)c1CN1C(=O)c2nnc(-c3cnccn3)n2C[C@@H]1C,1556.0,5.81,16.67,0.31,3.41,7.56
406.8,4.34,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCc2c(ncnc2-c2ccc[nH]2)C1,2511.9,5.6,13.77,0.27,1.26,9.05
493.92,4.55,COCCn1ccc(-c2nc(C)nc3c2C[C@@H](C)N(C(=O)c2cccc(C(F)(F)F)c2Cl)C3)n1,9.7,8.01,16.22,0.32,3.46,10.96
475.78,4.76,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCc2c(nc(C(F)(F)F)nc2-c2ccn[nH]2)C1,267.9,6.57,13.81,0.28,1.81,8.79
410.79,3.38,C[C@H]1Cn2c(nnc2-c2cc[nH]n2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,6.9,8.16,19.87,0.4,4.78,10.24
402.38,3.14,Cc1c(C(=O)N2CCc3c(nnn3-c3cnccn3)C2C)cccc1C(F)(F)F,92.3,7.04,17.48,0.33,3.89,9.16
397.29,3.59,CS(=O)(=O)c1ccccc1CNc1ncnn1-c1cccc(Cl)c1Cl,39.81,7.4,18.63,0.4,3.81,9.63
