Molecular Weight,AlogP,Smiles,IC50_nM,pChEMBL Value,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI
432.45,3.35,Cc1ccc(-c2ccn[nH]c2=O)cc1NC(=O)C1=CN(C)C(=O)C[C@H]1c1ccc(F)cc1,20.0,7.7,17.8,0.33,4.35,8.09
438.81,4.8,C[C@H]1Cn2c(nnc2-c2ccc(F)cc2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,0.2,9.7,22.1,0.44,4.9,19.01
422.8,3.45,CC1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,3.4,8.47,20.03,0.4,5.02,11.03
334.73,2.6,CN1C(=O)CC[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl,3.162,8.5,25.39,0.53,5.9,17.2
413.79,2.71,CN1C(=O)N(c2cnccn2)C[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl,15.85,7.8,18.85,0.38,5.09,9.95
422.79,3.98,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCn2c(nnc2-c2ccccc2O)C1,2.512,8.6,20.34,0.41,4.62,12.07
409.59,3.37,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCn2c(Br)nnc2C1,7.943,8.1,19.78,0.48,4.73,15.88
337.81,3.86,O=C(c1ccccc1Cl)N1CCn2c(-c3ccccc3)cnc2C1,50.12,7.3,21.61,0.42,3.44,19.15
355.8,4.0,O=C(c1ccc(F)cc1Cl)N1CCn2c(-c3ccccc3)cnc2C1,15.85,7.8,21.92,0.43,3.8,20.46
413.81,3.73,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCn2c(nnc2-c2cscn2)C1,1.585,8.8,21.27,0.45,5.07,13.77
376.25,3.25,Cn1cccc1-c1nnc2n1CCN(C(=O)c1cccc(Cl)c1Cl)C2,12.59,7.9,21.0,0.43,4.65,14.12
378.22,3.2,Cc1cc(-c2nnc3n2CCN(C(=O)c2cccc(Cl)c2Cl)C3)no1,25.12,7.6,20.09,0.42,4.4,9.86
408.77,3.06,O=C(c1ccc(Cl)c(C(F)(F)F)c1)N1CCn2c(nnc2-c2cnccn2)C1,31.62,7.5,18.35,0.37,4.44,9.77
391.23,4.05,O=C(c1ccc(F)cc1Cl)N1CCn2c(nnc2-c2cccc(Cl)c2)C1,12.59,7.9,20.19,0.41,3.85,15.48
392.32,2.55,O=C(c1ccc(F)c(C(F)(F)F)c1)N1CCn2c(nnc2-c2cnccn2)C1,12.59,7.9,20.14,0.39,5.35,10.29
373.34,3.01,O=C(c1ccccc1C(F)(F)F)N1CCn2c(nnc2-c2ccccn2)C1,63.1,7.2,19.29,0.36,4.19,11.27
502.69,5.78,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCn2c(nc(Br)c2-c2ccc(F)cc2)C1,31.62,7.5,14.92,0.34,1.72,19.67
455.47,4.19,Cl.O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CCCNCCCO)ccc1Cl,10.0,8.0,19.09,0.38,3.81,13.04
405.26,4.44,C[C@H]1Cn2c(nnc2-c2ccc(F)cc2)CN1C(=O)c1cccc(Cl)c1Cl,7.7,8.11,20.02,0.41,3.67,15.9
420.82,4.66,CC1Cn2c(nnc2-c2ccccc2)CN1C(=O)c1cccc(C(F)(F)F)c1Cl,12.0,7.92,18.82,0.37,3.26,15.52
405.26,4.44,CC1Cn2c(nnc2-c2ccc(F)cc2)CN1C(=O)c1cccc(Cl)c1Cl,14.0,7.85,19.38,0.4,3.41,15.39
438.81,4.97,CC1c2nnc(-c3ccc(F)cc3)n2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,10.0,8.0,18.23,0.36,3.03,15.68
480.95,0.87,COC[C@H](O)Cn1c(=O)cnn(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)c1=O,1.4,8.85,18.41,0.37,7.98,6.53
406.25,3.83,C[C@H]1Cn2c(nnc2-c2ccc(F)cn2)CN1C(=O)c1cccc(Cl)c1Cl,3.2,8.49,20.91,0.43,4.66,13.29
374.23,3.37,O=C(c1cccc(Cl)c1Cl)N1CCc2c(ncnc2-c2ccn[nH]2)C1,20.7,7.68,20.53,0.42,4.31,10.28
436.83,3.84,CC[C@H]1Cn2c(nnc2-c2ncccn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,0.9,9.05,20.71,0.41,5.21,11.78
354.77,0.32,Cn1c(=O)c2c(ncn2S(=O)(=O)c2ccccc2Cl)n(C)c1=O,10000.0,5.0,14.09,0.3,4.68,5.21
432.89,1.84,C[C@H]1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1ccc(Cl)cc1S(C)(=O)=O,132.1,6.88,15.89,0.32,5.04,6.2
450.82,5.12,O=C(c1cccc(C(F)(F)F)c1Cl)N1[C@H]2CC[C@@H]1c1nnc(-c3ccc(F)cc3)n1C2,12.6,7.9,17.52,0.35,2.78,15.48
463.89,5.25,CC(C)c1nc2c(c(-c3ccn[nH]3)n1)C[C@H](C)N(C(=O)c1cccc(C(F)(F)F)c1Cl)C2,1032.8,5.99,12.9,0.26,0.74,8.01
650.09,3.66,O=C(c1ccc(Cl)c(F)c1)N1CCN(c2cc(=O)[nH]c(=O)n2Cc2ccc(OS(=O)(=O)c3cccc4cnccc34)cc2)CC1,99.0,7.0,10.77,0.21,3.34,5.2
272.35,2.77,Cc1cccc(CNC(=O)Cc2c(C)noc2C)c1C,199.53,6.7,24.6,0.46,3.93,12.15
629.74,3.38,O=C(CC1CC2CCC1C2)N1CCN(c2cc(=O)[nH]c(=O)n2Cc2ccc(OS(=O)(=O)c3cccc4cnccc34)cc2)CC1,17.0,7.77,12.34,0.24,4.39,5.77
320.36,1.78,C[C@H]1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1ccccc1,6960.0,5.16,16.1,0.29,3.38,6.72
422.8,3.45,C[C@@H]1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,4710.0,5.33,12.6,0.25,1.88,6.94
422.8,3.45,C[C@H]1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,0.7,9.15,21.65,0.43,5.7,11.92
389.25,3.09,C[C@H]1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1c(Cl)cccc1Cl,72.0,7.14,18.35,0.38,4.05,9.3
407.24,3.23,C[C@H]1Cn2c(nnc2-c2ncc(F)cn2)CN1C(=O)c1cccc(Cl)c1Cl,10.0,8.0,19.64,0.4,4.77,10.42
312.2,3.19,Cc1n[nH]c(C)c1CC(=O)NCc1ccc(Cl)cc1Cl,7.943,8.1,25.94,0.55,4.91,14.02
536.61,2.87,CCC(=O)N1CCC(N2C(=O)NC(=O)C2Cc2ccc(OS(=O)(=O)c3cccc4cnccc34)cc2)CC1,11700.0,4.93,9.19,0.18,2.06,3.91
619.1,4.42,O=C1NC(=O)N(C2CCN(C(=O)c3ccccc3Cl)CC2)C1Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1,666.0,6.18,9.98,0.2,1.76,4.9
439.8,4.2,C[C@H]1Cn2c(nnc2-c2ccc(F)cn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,0.7,9.15,20.82,0.42,4.95,14.32
413.31,5.36,Cc1nn(-c2ccccc2)c(C)c1Cc1nnc(Cc2ccc(Cl)cc2Cl)o1,1258.93,5.9,14.27,0.29,0.54,10.4
280.75,1.97,CCN1C(=O)CC[C@H]1C(=O)NCc1ccc(Cl)cc1,630.96,6.2,22.08,0.45,4.23,12.55
280.75,1.97,CCN1C(=O)CC[C@H]1C(=O)NCc1ccccc1Cl,630.96,6.2,22.08,0.45,4.23,12.55
332.3,2.47,CCN1C(=O)CC[C@H]1C(=O)NCc1ccc(F)c(C(F)(F)F)c1,79.43,7.1,21.37,0.42,4.63,14.37
348.75,2.99,CCN1C(=O)CC[C@H]1C(=O)NCc1ccc(Cl)c(C(F)(F)F)c1,79.43,7.1,20.36,0.42,4.11,14.37
382.82,4.01,O=C1C(=O)N(c2cccc3ccccc23)CCN1Cc1ccc(F)cc1Cl,63.1,7.2,18.81,0.36,3.19,17.73
352.79,1.66,CCN1[C@H](C(=O)NCc2ccc(F)c(F)c2Cl)CCS1(=O)=O,79.43,7.1,20.13,0.44,5.44,10.68
298.17,2.59,Cn1nccc1CC(=O)NCc1ccc(Cl)cc1Cl,125.89,6.9,23.14,0.5,4.31,14.71
316.16,2.72,Cn1ncc(F)c1CC(=O)NCc1ccc(Cl)cc1Cl,50.12,7.3,23.09,0.5,4.58,15.56
380.34,3.53,Cc1ccccc1N1CCN(Cc2ccc(F)cc2C(F)(F)F)C(=O)C1=O,125.89,6.9,18.14,0.35,3.37,16.99
424.07,3.19,Cn1ncc(I)c1CC(=O)NCc1ccc(Cl)cc1Cl,39.81,7.4,17.45,0.51,4.21,15.77
360.82,3.47,Cc1ccc(N2CCN(Cc3ccc(F)cc3Cl)C(=O)C2=O)c(C)c1,79.43,7.1,19.68,0.39,3.63,17.48
412.8,3.31,CN1C(=O)N(c2ccccn2)CC1C(=O)NCc1cccc(C(F)(F)F)c1Cl,7.943,8.1,19.62,0.4,4.79,12.36
347.78,2.56,Cc1cnccc1N1CCN(Cc2ccc(F)cc2Cl)C(=O)C1=O,501.19,6.3,18.11,0.36,3.74,11.77
411.66,3.62,O=C1C(=O)N(c2ccccc2Br)CCN1Cc1ccc(F)cc1Cl,12.59,7.9,19.19,0.45,4.28,19.45
687.1,5.44,O=C1NC(=O)N(C2CCN(C(=O)c3ccc(Cl)c(C(F)(F)F)c3)CC2)C1Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1,54000.0,4.27,6.21,0.12,-1.17,3.39
731.85,4.52,CC(C)(C)OC(=O)N1CCN(C(=O)[C@H](Cc2ccc(OS(=O)(=O)c3cccc4cnccc34)cc2)NS(=O)(=O)c2cccc3cnccc23)CC1,41.0,7.39,10.09,0.2,2.87,4.47
448.27,4.74,O=C(NC[C@H](c1cnc(C(F)(F)F)nc1)C1CCOCC1)c1cccc(Cl)c1Cl,4.1,8.39,18.71,0.39,3.65,13.08
445.31,3.88,CCOC(=O)C1c2ncn(-c3ccccn3)c2CCN1C(=O)c1cccc(Cl)c1Cl,111.4,6.95,15.61,0.32,3.07,8.99
437.81,3.54,COc1ccnc(-n2nnc3c2CCN(C(=O)c2cccc(C(F)(F)F)c2Cl)C3)c1,9.3,8.03,18.34,0.37,4.49,10.98
426.83,3.62,Cc1cccnc1N1C[C@@H](C(=O)NCc2cccc(C(F)(F)F)c2Cl)N(C)C1=O,5.012,8.3,19.45,0.39,4.68,12.66
397.23,3.52,COc1c(Cl)cccc1N1CCN(Cc2ccc(F)cc2Cl)C(=O)C1=O,63.1,7.2,18.13,0.38,3.68,14.44
315.2,2.69,CC(C)N1CCN(C(=O)c2cccc(Cl)c2Cl)CC1=O,125.89,6.9,21.89,0.47,4.21,16.99
385.2,3.76,O=C(c1ccc(Cl)cc1Cl)N1CCN(c2ccc(F)cc2F)C(=O)C1,794.33,6.1,15.84,0.33,2.34,15.02
304.43,2.33,CCN1C(=O)CC[C@H]1C(=O)NCC12CC3CC(CC(C3)C1)C2,79.43,7.1,23.32,0.44,4.77,14.37
313.18,3.46,Cc1noc(C)c1CC(=O)NCc1cccc(Cl)c1Cl,31.62,7.5,23.95,0.51,4.04,13.6
322.45,3.39,Cc1ccccc1C(=O)NCC1(c2ccccc2)CCN(C)CC1,64.0,7.19,22.31,0.41,3.8,22.24
467.27,6.28,O=C(NCC1(c2ccc(C(F)(F)F)nc2)CCC(F)(F)CC1)c1cccc(Cl)c1Cl,1.2,8.92,19.09,0.41,2.64,21.25
382.81,5.07,O=C(NCC(CC1CC1)c1ccc(C(F)(F)F)nc1)c1ccccc1Cl,63.0,7.2,18.81,0.38,2.13,17.15
394.3,4.03,Cc1ncc(C(CNC(=O)c2cccc(Cl)c2Cl)C2CCOCC2)cn1,28.0,7.55,19.16,0.4,3.52,11.78
428.94,4.27,Cc1nn(Cc2ccccc2N(C)C)c(C)c1CC(=O)NCc1ccc(F)cc1Cl,251.19,6.6,15.39,0.3,2.33,13.16
505.98,4.47,Cc1nn(-c2ccc(C(=O)NCc3ccccn3)cc2)c(C)c1CC(=O)NCc1ccc(F)cc1Cl,15.85,7.8,15.42,0.3,3.33,8.77
351.85,3.81,Cc1nn(CC(C)C)c(C)c1CC(=O)NCc1ccc(F)cc1Cl,251.19,6.6,18.76,0.38,2.79,14.07
408.91,3.02,CCN(CC)C(=O)Cn1nc(C)c(CC(=O)NCc2ccc(F)cc2Cl)c1C,501.19,6.3,15.41,0.31,3.28,9.37
324.78,2.66,C=C(C)CN1C(=O)CC[C@H]1C(=O)NCc1ccc(F)cc1Cl,398.11,6.4,19.71,0.4,3.74,12.95
392.91,3.25,Cc1nn(CCN2CCCC2)c(C)c1CC(=O)NCc1ccc(F)cc1Cl,125.89,6.9,17.56,0.35,3.65,13.76
367.85,2.92,Cc1nn(CC(C)(C)O)c(C)c1CC(=O)NCc1ccc(F)cc1Cl,316.23,6.5,17.67,0.36,3.58,9.68
462.88,3.32,O=C(Cc1cn(CCNC2CCOCC2)nc1C(F)(F)F)NCc1ccc(F)cc1Cl,794.33,6.1,13.18,0.27,2.78,8.95
440.68,4.43,O=C(Cc1cnn(-c2ccc(F)cc2)c1Br)NCc1ccc(F)cc1Cl,398.11,6.4,14.52,0.34,1.97,13.64
402.86,3.54,COc1ccc(-n2nc(C)c(CC(=O)NCc3ccc(F)cc3Cl)c2C)cn1,251.19,6.6,16.38,0.32,3.06,9.56
402.86,3.54,COc1ncccc1-n1nc(C)c(CC(=O)NCc2ccc(F)cc2Cl)c1C,251.19,6.6,16.38,0.32,3.06,9.56
312.77,2.41,CCN1C(=O)CC[C@H]1C(=O)NCc1c(Cl)ccc(C)c1F,794.33,6.1,19.5,0.4,3.69,12.35
316.74,2.25,CCN1C(=O)CC[C@H]1C(=O)NCc1ccc(F)c(F)c1Cl,7.943,8.1,25.57,0.53,5.85,16.39
355.27,3.54,CC1(C(=O)NCc2ccc(Cl)cc2Cl)CCC(=O)N1C1CCC1,100.0,7.0,19.7,0.42,3.46,14.17
332.3,2.47,CCN1C(=O)CC[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1F,25.12,7.6,22.87,0.45,5.13,15.38
315.2,2.62,CN1C(=O)CCC1(C)C(=O)NCc1ccc(Cl)cc1Cl,199.53,6.7,21.26,0.46,4.08,13.56
348.75,2.99,CCN1C(=O)CC[C@@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl,10.0,8.0,22.94,0.48,5.01,16.19
348.75,2.99,CCN1C(=O)CC[C@@H]1C(=O)NCc1ccc(Cl)c(C(F)(F)F)c1,316.23,6.5,18.64,0.39,3.51,13.16
284.72,1.72,CN1C(=O)CC[C@H]1C(=O)NCc1cccc(Cl)c1F,125.89,6.9,24.23,0.5,5.18,13.96
396.8,4.19,CCN1C(=O)c2ccccc2C1C(=O)NCc1cccc(C(F)(F)F)c1Cl,79.43,7.1,17.89,0.36,2.91,14.37
369.29,3.93,CC1(C(=O)NCc2ccc(Cl)cc2Cl)CCCC(=O)N1C1CCC1,199.53,6.7,18.14,0.38,2.77,13.56
327.21,2.76,O=C(NCc1ccc(Cl)cc1Cl)C1CCC(=O)N1C1CC1,3.162,8.5,25.98,0.55,5.74,17.2
332.3,2.47,CCN1C(=O)CC[C@@H]1C(=O)NCc1ccc(F)cc1C(F)(F)F,199.53,6.7,20.16,0.4,4.23,13.56
294.78,2.28,CCN1C(=O)CC[C@@H]1C(=O)NCc1ccc(Cl)cc1C,125.89,6.9,23.41,0.47,4.62,13.96
280.76,1.89,Cc1c(Cl)cccc1CNC(=O)[C@H]1CCC(=O)N1C,100.0,7.0,24.93,0.5,5.11,14.17
349.74,2.34,CN1CC(C(=O)NCc2cccc(C(F)(F)F)c2Cl)N(C)C1=O,1.585,8.8,25.16,0.52,6.46,16.71
362.78,3.38,CCN1C(=O)CCC[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl,2.512,8.6,23.71,0.49,5.22,17.41
410.82,4.17,O=C(NCc1cccc(C(F)(F)F)c1Cl)[C@H]1CCC(=O)N1Cc1ccccc1,31.62,7.5,18.26,0.37,3.33,15.18
393.27,3.04,O=C(NCc1ccc(Cl)cc1Cl)C1COCC(=O)N1Cc1ccccc1,501.19,6.3,16.02,0.33,3.26,10.74
376.82,2.52,O=C(NCc1ccc(F)cc1Cl)C1COCC(=O)N1Cc1ccccc1,501.19,6.3,16.72,0.33,3.78,10.74
362.78,3.37,CC(C)N1C(=O)CC[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl,1.995,8.7,23.98,0.5,5.33,17.61
342.36,3.03,Cc1c(CNC(=O)[C@@H]2CCC(=O)N2C(C)C)cccc1C(F)(F)F,3.981,8.4,24.54,0.48,5.37,17.0
313.74,2.52,Cc1cnn(C)c1CC(=O)NCc1ccc(F)c(F)c1Cl,31.62,7.5,23.91,0.49,4.98,15.98
320.77,1.13,CN1[C@H](C(=O)NCc2ccc(F)cc2Cl)CCS1(=O)=O,125.89,6.9,21.51,0.47,5.77,10.38
301.27,1.09,CN1C[C@@H](C(=O)NCc2ccc(F)c(F)c2F)N(C)C1=O,31.62,7.5,24.89,0.49,6.41,14.25
344.86,2.08,Cc1c(Cl)cccc1CNC(=O)[C@@H]1CCS(=O)(=O)N1C(C)C,251.19,6.6,19.14,0.41,4.52,9.93
348.83,1.91,CC(C)N1[C@H](C(=O)NCc2ccc(F)cc2Cl)CCS1(=O)=O,199.53,6.7,19.21,0.42,4.79,10.08
350.36,1.53,CC(C)N1[C@H](C(=O)NCc2ccc(F)c(F)c2F)CCS1(=O)=O,501.19,6.3,17.98,0.37,4.77,9.48
344.79,2.88,CCN1C(=O)C(C)(C)C[C@H]1C(=O)NCc1ccc(F)c(F)c1Cl,39.81,7.4,21.46,0.44,4.52,14.98
396.8,4.04,Cc1ccccc1N1CCN(Cc2cccc(C(F)(F)F)c2Cl)C(=O)C1=O,39.81,7.4,18.65,0.37,3.36,18.22
328.8,3.02,Cc1ccccc1N1CCN(Cc2ccc(Cl)cc2)C(=O)C1=O,398.11,6.4,19.46,0.38,3.38,15.76
458.66,3.46,O=C1C(=O)N(c2cccc(I)c2)CCN1Cc1ccc(F)cc1Cl,398.11,6.4,13.95,0.36,2.94,15.76
431.9,3.0,Cc1cccc(N2CCN(Cc3ccc(F)cc3Cl)C(=O)C2=O)c1N1CCOCC1,50.12,7.3,16.9,0.33,4.3,13.75
431.9,3.0,Cc1c(N2CCOCC2)cccc1N1CCN(Cc2ccc(F)cc2Cl)C(=O)C1=O,31.62,7.5,17.37,0.34,4.5,14.13
383.66,4.14,O=C(c1ccc(Cl)cc1Cl)N1CCN(c2ccccc2Cl)C(=O)C1,25.12,7.6,19.81,0.43,3.46,18.71
301.17,2.3,CCN1CCN(C(=O)c2cccc(Cl)c2Cl)CC1=O,199.53,6.7,22.25,0.48,4.4,16.49
383.81,3.4,O=C1C(=O)N(c2cccc3ncccc23)CCN1Cc1ccc(F)cc1Cl,501.19,6.3,16.41,0.32,2.9,11.77
374.84,4.09,CC(C)c1ccccc1N1CCN(C(=O)c2ccc(F)cc2Cl)CC1=O,31.62,7.5,20.01,0.39,3.41,18.46
380.34,3.24,Cc1cc(F)cc(C)c1N1CCN(Cc2ccc(F)c(F)c2F)C(=O)C1=O,316.23,6.5,17.09,0.33,3.26,16.0
368.74,3.25,O=C(c1cccc(F)c1F)N1CCN(c2ccc(F)cc2Cl)C(=O)C1,316.23,6.5,17.63,0.36,3.25,16.0
476.51,2.82,Cc1ccc(-c2ccnn(CCO)c2=O)cc1NC(=O)C1=CN(C)C(=O)C[C@H]1c1ccc(F)cc1,17.0,7.77,16.31,0.3,4.95,7.43
584.98,4.47,O=C(NCC(c1cnc(C(F)(F)F)nc1)N1CCC(F)(F)CC1)c1c(Cl)ccc2nc(N3CC[C@H](O)C3)ccc12,151.0,6.82,11.66,0.23,2.35,7.22
715.15,6.17,CCN1C(=O)C(Cc2ccc(OS(=O)(=O)c3cccc4cnccc34)cc2)N(C2CCN(C(=O)c3ccc(Cl)c(C(F)(F)F)c3)CC2)C1=O,847.0,6.07,8.49,0.17,-0.1,5.18
721.67,5.19,O=C1NC(=O)N(C2CCN(C(=O)C34CC5CC(CC(Br)(C5)C3)C4)CC2)C1Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1,27.0,7.57,10.49,0.22,2.38,6.01
619.1,4.42,O=C1NC(=O)N(C2CCN(C(=O)c3cccc(Cl)c3)CC2)C1Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1,313.0,6.5,10.51,0.21,2.08,5.16
429.78,4.68,O=C(Cc1cnn(-c2ccc(F)cc2)c1C(F)(F)F)NCc1ccc(F)cc1Cl,1258.93,5.9,13.73,0.28,1.22,12.57
400.89,4.15,Cc1ccc(-n2nc(C)c(CC(=O)NCc3ccc(F)cc3Cl)c2C)c(C)n1,398.11,6.4,15.96,0.31,2.25,10.7
355.39,3.63,Cc1nn(-c2ccccc2)c(C)c1CC(=O)NCc1ccc(F)c(F)c1,251.19,6.6,18.57,0.35,2.97,14.07
353.83,2.8,COCCn1nc(C)c(CC(=O)NCc2ccc(F)cc2Cl)c1C,398.11,6.4,18.09,0.36,3.6,11.4
371.84,4.14,Cc1nn(-c2ccccc2)c(C)c1CC(=O)NCc1cc(Cl)ccc1F,630.96,6.2,16.67,0.33,2.06,13.21
404.94,2.65,Cc1nn(CCN2CCOCC2)c(C)c1CC(=O)NCc1cccc(Cl)c1C,125.89,6.9,17.04,0.34,4.25,11.62
406.81,3.11,CN(C)CCn1ncc(CC(=O)NCc2ccc(F)cc2Cl)c1C(F)(F)F,1258.93,5.9,14.5,0.3,2.79,11.76
462.88,3.32,O=C(Cc1cnn(CCNC2CCOCC2)c1C(F)(F)F)NCc1ccc(F)cc1Cl,1258.93,5.9,12.75,0.26,2.58,8.65
312.77,2.41,CCN1C(=O)CC[C@H]1C(=O)NCc1c(F)ccc(C)c1Cl,158.49,6.8,21.74,0.44,4.39,13.76
324.78,2.64,O=C(NCc1ccc(F)cc1Cl)[C@H]1CCC(=O)N1C1CCC1,794.33,6.1,18.78,0.38,3.46,12.35
424.85,4.56,O=C(NCc1cccc(C(F)(F)F)c1Cl)[C@H]1CCCC(=O)N1Cc1ccccc1,19.95,7.7,18.12,0.36,3.14,15.58
314.31,2.12,CCN1C(=O)CCC[C@H]1C(=O)NCc1ccc(F)c(F)c1F,100.0,7.0,22.27,0.43,4.88,14.17
271.32,1.19,CCN1C(=O)CC[C@H]1C(=O)NCc1ccccc1C#N,630.96,6.2,22.85,0.42,5.01,8.47
339.32,2.2,CCN1C(=O)CC[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1C#N,3.162,8.5,25.05,0.48,6.3,11.61
348.75,2.84,C[C@@H]1CC(=O)N(C)[C@@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl,15.85,7.8,22.37,0.46,4.96,15.79
363.24,3.68,Cc1ccccc1N1CCN(Cc2ccc(Cl)cc2Cl)C(=O)C1=O,10.0,8.0,22.02,0.46,4.32,19.69
386.85,3.73,O=C1C(=O)N(c2cccc3c2CCCC3)CCN1Cc1ccc(F)cc1Cl,50.12,7.3,18.87,0.37,3.57,17.97
418.85,2.46,CN1C(=O)N(C2CCNCC2)CC1C(=O)NCc1cccc(C(F)(F)F)c1Cl,31.62,7.5,17.91,0.37,5.04,11.6
360.82,3.47,Cc1cc(C)cc(N2CCN(Cc3ccc(F)cc3Cl)C(=O)C2=O)c1,1000.0,6.0,16.63,0.33,2.53,14.77
285.71,1.12,CN1C(=O)NC[C@H]1C(=O)NCc1ccc(F)cc1Cl,39.81,7.4,25.9,0.53,6.28,12.04
452.31,3.34,O=C1C(=O)N(c2cccc(Cl)c2N2CCOCC2)CCN1Cc1ccc(F)cc1Cl,39.81,7.4,16.36,0.34,4.06,13.94
361.8,2.87,Cc1ccc(C)c(N2CCN(Cc3ccc(F)cc3Cl)C(=O)C2=O)n1,199.53,6.7,18.52,0.37,3.83,12.52
441.68,3.63,COc1c(Br)cccc1N1CCN(Cc2ccc(F)cc2Cl)C(=O)C1=O,50.12,7.3,16.53,0.38,3.67,14.64
458.66,3.46,O=C1C(=O)N(c2ccccc2I)CCN1Cc1ccc(F)cc1Cl,7.943,8.1,17.66,0.46,4.64,19.94
383.79,1.91,CN1C(=O)N(c2nccn2C)C[C@H]1C(=O)NCc1ccc(F)c(F)c1Cl,39.81,7.4,19.28,0.39,5.49,10.5
383.79,1.91,CN1C(=O)N(c2ccnn2C)C[C@H]1C(=O)NCc1ccc(F)c(F)c1Cl,19.95,7.7,20.06,0.4,5.79,10.93
395.26,4.12,Cc1cc(F)cc(C)c1N1CCN(Cc2cccc(Cl)c2Cl)C(=O)C1=O,50.12,7.3,18.47,0.38,3.18,17.97
462.9,2.43,CN1C(=O)N(CCCN2CCOCC2)CC1C(=O)NCc1cccc(C(F)(F)F)c1Cl,50.12,7.3,15.77,0.32,4.87,11.21
375.83,2.92,CN(C)c1ccccc1N1CCN(Cc2ccc(F)cc2Cl)C(=O)C1=O,63.1,7.2,19.16,0.38,4.28,16.42
440.85,3.93,Cc1ccc(N2C[C@@H](C(=O)NCc3cccc(C(F)(F)F)c3Cl)N(C)C2=O)c(C)n1,7.943,8.1,18.37,0.37,4.17,12.36
408.43,2.6,Cc1cc2cnn(CCO)c2cc1NC(=O)C1=CNC(=O)C[C@H]1c1ccc(F)cc1,23.0,7.64,18.7,0.35,5.04,7.94
537.55,1.32,COC[C@H](O)Cn1c(=O)cnn(-c2ccc(C)c(NC(=O)C3=CN(C)C(=O)C[C@H]3c3ccc(F)cc3)c2)c1=O,17.0,7.77,14.45,0.27,6.45,5.72
329.23,3.01,CCN1C(=O)CCCC1C(=O)NCc1ccc(Cl)cc1Cl,15.85,7.8,23.69,0.51,4.79,15.79
362.78,3.23,CN1C(=O)CC(C)(C)C1C(=O)NCc1cccc(C(F)(F)F)c1Cl,100.0,7.0,19.3,0.4,3.77,14.17
426.82,3.4,O=C(NCc1cccc(C(F)(F)F)c1Cl)C1COCC(=O)N1Cc1ccccc1,251.19,6.6,15.46,0.31,3.2,11.26
327.21,2.62,O=C(NCc1ccc(Cl)cc1Cl)C1CC(=O)N(C2CC2)C1,125.89,6.9,21.09,0.45,4.28,13.96
336.7,2.43,CN1C(=O)OC[C@@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl,50.12,7.3,21.68,0.45,4.87,12.45
410.82,4.02,O=C(NCc1cccc(C(F)(F)F)c1Cl)C1CC(=O)N(Cc2ccccc2)C1,316.23,6.5,15.82,0.32,2.48,13.16
348.75,2.84,CC1CC(=O)N(C)[C@@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl,25.12,7.6,21.79,0.45,4.76,15.38
338.76,1.27,CN1[C@H](C(=O)NCc2ccc(F)c(F)c2Cl)CCS1(=O)=O,79.43,7.1,20.96,0.46,5.83,10.68
435.86,2.83,O=C1C(=O)N(c2cc(F)ccc2N2CCOCC2)CCN1Cc1ccc(F)cc1Cl,15.85,7.8,17.9,0.36,4.97,14.69
292.77,3.11,Cc1cc(Cl)ccc1CNC(=O)Cc1c(C)noc1C,25.12,7.6,25.96,0.52,4.49,13.79
448.84,3.84,O=C1c2nnc(-c3cnccn3)n2CC(C2CC2)N1Cc1cccc(C(F)(F)F)c1Cl,4.0,8.4,18.71,0.37,4.56,10.93
